gene,gene_name,zscore,pvalue,pred_perf_R2,VAR_g,n,covariance_n,model_n
MR1,MR1,-0.635915851987,0.524831269975,0.00298622157459,0.0049345272783,23,23,23
C9orf95,C9orf95,0.635818724761,0.524894581461,0.718029294338,0.649973388365,83,83,83
CES1,CES1,-0.635813808667,0.524897786076,0.267886226497,0.123974414706,74,76,76
PINX1,PINX1,0.635784703098,0.524916759093,0.000451560402136,0.00165558564158,5,5,5
ZNF543,ZNF543,0.635744160239,0.52494318831,0.0674939250262,0.0364151526369,13,13,13
KIR3DX1,KIR3DX1,0.635557493368,0.525064882134,0.0951246894094,0.0780873879159,45,46,46
GPR126,GPR126,0.635524598703,0.525086328665,0.237679520362,0.212105191517,35,35,35
CORO1B,CORO1B,-0.635494964959,0.525105649538,0.000307463841702,0.00346082359297,9,9,9
PRH1,PRH1,0.635376396121,0.525182958748,0.461777958504,0.315794841372,62,63,63
IRAK2,IRAK2,-0.635136517088,0.525339382398,0.0118250537695,0.0218254092109,52,52,52
PSME1,PSME1,0.635077274464,0.525378017821,0.0364507635153,0.0133641661492,4,4,4
RTDR1,RTDR1,-0.635012800639,0.525420066454,0.0530384480757,0.0317365459101,19,19,19
C17orf50,C17orf50,0.634973433918,0.525445741546,0.356987878883,0.280241946254,30,30,30
ZNF69,ZNF69,-0.634890244563,0.5255,0.00546109108874,0.00233687962841,1,1,1
THOC3,THOC3,-0.634824595267,0.525542820354,0.0496324308006,0.0206809324183,20,22,22
PTRH1,PTRH1,-0.634729466885,0.525604871879,0.0582926233676,0.0632118225688,46,47,47
DHCR24,DHCR24,-0.634611348986,0.525681924505,0.0902571245599,0.0629079919193,20,20,20
NIPA2,NIPA2,-0.634407899407,0.525814655651,0.151373228019,0.123690630377,22,24,24
DHX40,DHX40,-0.634285606216,0.525894448358,0.00088782708,0.000824065416342,2,2,2
ANKRD35,ANKRD35,-0.634240053913,0.525924171477,0.535764504002,0.482653193089,14,14,14
DNAH3,DNAH3,0.634088643632,0.526022973658,0.00335814718603,0.00358666613546,7,7,7
TIMM10,TIMM10,0.634057519556,0.526043284727,0.442057418503,0.361390394574,27,27,27
DYNC1LI1,DYNC1LI1,-0.633982838304,0.526092022138,0.201939880709,0.158294703676,33,34,34
GRAMD3,GRAMD3,-0.633730071568,0.526256996275,0.00887205841287,0.00320651641859,8,8,8
ZNF43,ZNF43,-0.633554916938,0.526371330553,0.0839120642681,0.0452503725266,12,12,12
COMMD10,COMMD10,-0.633260480085,0.52656355632,0.128439455284,0.0777388428527,33,33,33
PPL,PPL,-0.632789554421,0.526871078914,0.321994001214,0.267126121809,24,24,24
BHLHE41,BHLHE41,-0.632757907421,0.526891748239,0.00024249826277,0.00059578131182,7,7,7
ICMT,ICMT,-0.632657319153,0.526957447312,0.108410736837,0.085111870388,46,47,47
BRD3,BRD3,-0.632513747828,0.527051227945,0.101504997798,0.0738573085528,14,14,14
LDB1,LDB1,0.632232115828,0.527235214399,0.0679098687747,0.0710863429754,46,46,46
PTOV1,PTOV1,-0.632181672357,0.527268171911,0.0377908281635,0.0161388746912,3,3,3
CREBBP,CREBBP,-0.632155069242,0.527285553621,0.00282892809217,0.00232741915536,3,3,3
INF2,INF2,0.631549854019,0.527681062805,0.521073643263,0.471452163432,18,18,18
SEPSECS,SEPSECS,-0.631242220732,0.527882159651,0.0116050292135,0.00423766674766,5,5,5
WFS1,WFS1,0.63123749622,0.527885248322,0.113362212682,0.0757589638383,32,33,33
TSKS,TSKS,-0.630897456557,0.528107575002,0.241021821471,0.168344798366,32,32,32
UQCRC2,UQCRC2,-0.630841339469,0.528144270384,0.00416772361844,0.00590276397691,16,16,16
TBC1D10B,TBC1D10B,-0.630736228538,0.5282130067,0.00631839049814,0.00419742165673,4,4,4
UBE2F,UBE2F,-0.630600930322,0.528301490419,0.235456520868,0.207008308806,57,58,58
MASP2,MASP2,0.630529061127,0.528348495245,0.0251170886802,0.0147790905236,19,19,19
TSTA3,TSTA3,-0.629395454276,0.529090193224,0.0169660287079,0.00484128018206,2,2,2
APBB1,APBB1,-0.629223387076,0.529202819897,0.000814884133446,0.00115780869968,5,5,5
